,Fuel type,body type,transmission,owner,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City,price_clean,price_lakh
35,Petrol,MUV,Manual,2,Maruti,Maruti Ertiga,2019,10.5,Third Party insurance,60000,19.34,7.0,Others,Bangalore,10.50 Lakh,10.5
36,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,44.25,Comprehensive,12000,12.6,5.0,White,Bangalore,44.25 Lakh,44.25
37,Petrol,Hatchback,Manual,2,Maruti,Maruti Wagon R,2015,4.06,Comprehensive,40987,20.51,5.0,White,Bangalore,4.06 Lakh,4.06
38,Petrol,Sedan,Automatic,1,BMW,BMW 5 Series,2020,49.65,Zero Dep,18157,15.56,5.0,Blue,Bangalore,49.65 Lakh,49.65
39,Diesel,SUV,Manual,3,Toyota,Toyota Fortuner,2011,11.0,Third Party insurance,120000,11.5,7.0,Others,Bangalore,11 Lakh,11.0
40,Diesel,SUV,Automatic,2,Renault,Renault Duster,2020,11.0,Third Party insurance,40000,19.87,5.0,Others,Bangalore,11 Lakh,11.0
41,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,5.94,Comprehensive,89667,18.6,5.0,White,Bangalore,5.94 Lakh,5.94
42,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,7.1,Third Party insurance,120000,22.54,5.0,Others,Bangalore,7.10 Lakh,7.1
43,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,6.92,Zero Dep,56997,21.4,5.0,Blue,Bangalore,6.92 Lakh,6.92
44,Petrol,Sedan,Manual,1,Hyundai,Hyundai Elantra,2013,6.5,Third Party insurance,120000,16.3,5.0,Others,Bangalore,6.50 Lakh,6.5
45,Diesel,Sedan,Automatic,1,Audi,Audi A6,2015,20.9,Third Party insurance,59000,18.53,5.0,White,Bangalore,20.90 Lakh,20.9
46,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,4.11,Zero Dep,18835,22.05,5.0,Silver,Bangalore,4.11 Lakh,4.11
