it,ft,bt,transmission,ownerNo,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats.1,Color,Max Power.1,Seating Capacity.1,Steering Type.1,Tyre Type.1,Alloy Wheel Size.1,No Door Numbers.1,Gear Box,Drive Type,Seating Capacity.2,Steering Type.2,Tyre Type.2,No Door Numbers.2,Alloy Wheel Size.2,City,Top Speed.1,Drive Type.1,Turning Radius.1,Rear Brake Type.1,Gear Box.1,Front Brake Type.1,Acceleration.1
0,Petrol,Sedan,Manual,2,Honda,Honda City,2016,₹ 7.75 Lakh,Comprehensive,"67,000 Kms",17.8 kmpl,1497 CC,5.0,Brown,117.3bhp@6600rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",4.0,15,Bangalore,,,,,,,
0,Diesel,Sedan,Automatic,3,BMW,BMW 5 Series,2011,₹ 22 Lakh,Third Party insurance,"1,00,000 Kms",18.48 kmpl,1995 CC,5.0,White,"177 @ 4,000 (PS@rpm)",,,,,,6 Speed,,5.0,Power,"Tubeless,Radial",4.0,17,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2016,₹ 5.82 Lakh,Comprehensive,"18,083 Kms",22.38 kmpl,1197 CC,5.0,Silver,88.50bhp@6000rpm,,,,,,5-Speed,,5.0,Electric,"Radial, Tubeless",5.0,,Bangalore,,,,,,,
0,Petrol,SUV,Manual,1,Renault,Renault Duster,2020,₹ 10.90 Lakh,Third Party insurance,"30,000 Kms",16.42 kmpl,1498 CC,5.0,Others,104.55bhp@5600rpm,,,,,,5-Speed,FWD,5.0,Power,Tubeless Radial Tyres,5.0,,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2016,₹ 4.57 Lakh,Comprehensive,"57,634 Kms",23.84 kmpl,1199 CC,5.0,Silver,84bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless,5.0,14,Bangalore,,,,,,,
0,Petrol,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,₹ 49 Lakh,Third Party insurance,"50,000 Kms",7.81 kmpl,4663 CC,5.0,Others,453.26bhp@5250-5500rpm,,,,,,7 Speed,RWD,5.0,Power,"Tubeless,Radial",4.0,19,Bangalore,,,,,,,
0,Petrol,Sedan,Manual,1,Honda,Honda City,2015,₹ 5.50 Lakh,Third Party insurance,"1,10,000 Kms",17.4 kmpl,1497 CC,5.0,Others,117.3bhp@6600rpm,,,,,,5 Speed ,FWD,5.0,Power,"Tubeless,Radial",4.0,15,Bangalore,,,,,,,
0,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Santro,2018,₹ 5.70 Lakh,Comprehensive,"23,447 Kms",20.3 kmpl,1086 CC,5.0,Yellow,68bhp@5500rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,,Bangalore,,,,,,,
0,Lpg,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2009,₹ 2.20 Lakh,Third Party insurance,"30,000 Kms",13.45 kmpl,1086 CC,5.0,Others,62.1bhp@5500rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,13,Bangalore,,,,,,,
0,Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,₹ 41.45 Lakh,Comprehensive,"33,000 Kms",15 kmpl,1991 CC,5.0,White,194.4bhp@5800-6100,,,,,,9 Speed,RWD,5.0,Electric,"Tubeless,Radial",4.0,17,Bangalore,,,,,,,
0,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,₹ 8.61 Lakh,Third Party,"87,667 Kms",15.1 kmpl,2179 CC,7.0,Black,140bhp@3750rpm,,,,,,6 Speed ,FWD,7.0,Power,"Tubeless,Radial ",5.0,,Bangalore,,,,,,,
0,Diesel,Sedan,Automatic,2,Audi,Audi A4,2016,₹ 17.85 Lakh,Third Party insurance,"40,000 Kms",17.11 kmpl,1968 CC,5.0,Others,174.33bhp@4200rpm,,,,,,8 Speed,FWD,5.0,Power,"Tubeless,Radial",4.0,16,Bangalore,,,,,,,
0,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,₹ 8.03 Lakh,Comprehensive,"79,012 Kms",15.1 kmpl,2179 CC,7.0,Silver,140bhp@3750rpm,,,,,,6 Speed,FWD,7.0,Power,"Tubeless,Radial ",5.0,17,Bangalore,,,,,,,
0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2021,₹ 25.65 Lakh,Comprehensive,"31,344 Kms",17.1 kmpl,1956 CC,5.0,Black,167.67bhp@3750rpm,,,,,,6 Speed,4x2,5.0,Power,"Tubeless, Radial",5.0,18,Bangalore,,,,,,,
0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2018,₹ 6.74 Lakh,Third Party insurance,"50,000 Kms",20.14 kmpl,1197 CC,5.0,Others,81.86bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless,4.0,14,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2015,₹ 3.49 Lakh,Comprehensive,"12,434 Kms",20.51 kmpl,998 CC,5.0,Brown,67.04bhp@6200rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless Tyres,5.0,,Bangalore,,,,,,,
0,Petrol,MUV,Manual,2,Maruti,Maruti Ertiga,2019,₹ 10.50 Lakh,Third Party insurance,"60,000 Kms",19.34 kmpl,1462 CC,7.0,Others,103bhp@6000rpm,,,,,,5 Speed,2WD,7.0,Power,"Tubeless, Radial",5.0,,Bangalore,,,,,,,
0,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,₹ 44.25 Lakh,Comprehensive,"12,000 Kms",12.6 kmpl,1950 CC,5.0,White,194bhp@3800rpm,,,,,,9 Speed,RWD,5.0,Power,"Tubeless, Radial",4.0,17,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,2,Maruti,Maruti Wagon R,2015,₹ 4.06 Lakh,Comprehensive,"40,987 Kms",20.51 kmpl,998 CC,5.0,White,67.04bhp@6200rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless Tyres,5.0,,Bangalore,,,,,,,
0,Petrol,Sedan,Automatic,1,BMW,BMW 5 Series,2020,₹ 49.65 Lakh,Zero Dep,"18,157 Kms",15.56 kmpl,1998 CC,5.0,Blue,248.08bhp@5200rpm,,,,,,8-Speed Steptronic,RWD,5.0,Power,"Tubeless,Runflat",4.0,R18,Bangalore,,,,,,,
0,Diesel,SUV,Manual,3,Toyota,Toyota Fortuner,2011,₹ 11 Lakh,Third Party insurance,"1,20,000 Kms",11.5 kmpl,2982 CC,7.0,Others,171 PS @ 3600 rpm,,,,,,5 Speed,4WD,7.0,Power,"Tubeless,Radial",5.0,17,Bangalore,,,,,,,
0,Diesel,SUV,Automatic,2,Renault,Renault Duster,2020,₹ 11 Lakh,Third Party insurance,"40,000 Kms",19.87 kmpl,1461 CC,5.0,Others,108.5bhp@4000rpm,,,,,,6-Speed,FWD,5.0,Power,Radial,5.0,16,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,₹ 5.94 Lakh,Comprehensive,"89,667 Kms",18.6 kmpl,1197 CC,5.0,White,81.83bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,Tubeless,5.0,,Bangalore,,,,,,,
0,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,₹ 7.10 Lakh,Third Party insurance,"1,20,000 Kms",22.54 kmpl,1396 CC,5.0,Others,88.73bhp@4000rpm,,,,,,6 Speed,FWD,5.0,Power,Tubeless,5.0,16,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,₹ 6.92 Lakh,Zero Dep,"56,997 Kms",21.4 kmpl,1197 CC,5.0,Blue,83.1bhp@6000rpm,,,,,,5 Speed,FWD,5.0,Power,"Tubeless,Radial",5.0,16,Bangalore,,,,,,,
0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Elantra,2013,₹ 6.50 Lakh,Third Party insurance,"1,20,000 Kms",16.3 kmpl,1797 CC,5.0,Others,147.5bhp@6500rpm,,,,,,6 Speed ,FWD,5.0,Power,"Tubeless,Radial",4.0,16,Bangalore,,,,,,,
0,Diesel,Sedan,Automatic,1,Audi,Audi A6,2015,₹ 20.90 Lakh,Third Party insurance,"59,000 Kms",18.53 kmpl,1968 CC,5.0,White,187.74bhp@3800-4200rpm,,,,,,7 Speed,FWD,5.0,Power,"Tubeless,Radial",4.0,18,Bangalore,,,,,,,
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,₹ 4.11 Lakh,Zero Dep,"18,835 Kms",22.05 kmpl,796 CC,5.0,Silver,47.33bhp@6000rpm,,,,,,5 Speed,,5.0,,Tubeless Tyres,5.0,,Bangalore,,,,,,,
