it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats.1,Color,Gear Box,Drive Type,City
0,Petrol,Convertibles,"22,000",Automatic,1,1st Owner,Audi,Audi A3 cabriolet,2015,₹ 34.95 Lakh,Comprehensive,"22,000 Kms",16.6 kmpl,1798 CC,4.0,Red,7 Speed,FWD,Bangalore
0,Petrol,Hatchback,"11,268",Manual,2,2nd Owner,Hyundai,Hyundai Grand i10,2017,₹ 6.26 Lakh,Comprehensive,"11,268 Kms",18.9 kmpl,1197 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"24,357",Manual,1,1st Owner,Tata,Tata Tiago,2020,₹ 6.32 Lakh,Zero Dep,"24,357 Kms",20.09 kmpl,1199 CC,5.0,Red,5-Speed`,,Bangalore
0,Diesel,MUV,"1,57,000",Manual,2,2nd Owner,Toyota,Toyota Innova Crysta,2016,₹ 17.75 Lakh,Comprehensive,"1,57,000 Kms",13.68 kmpl,2393 CC,8.0,White,5 Speed,RWD,Bangalore
0,Petrol,Sedan,"9,982",Manual,1,1st Owner,Honda,Honda City,2018,₹ 10 Lakh,Comprehensive,"9,982 Kms",17 kmpl,1497 CC,5.0,Golden Brown,5 Speed,FWD,Bangalore
0,Diesel,Sedan,"22,000",Automatic,1,1st Owner,Audi,Audi A3,2020,₹ 28.75 Lakh,Comprehensive,"22,000 Kms",20.38 kmpl,1968 CC,5.0,Red,6 Speed,FWD,Bangalore
0,Petrol,SUV,"27,000",Manual,1,1st Owner,Hyundai,Hyundai Venue,2020,₹ 10.85 Lakh,Comprehensive,"27,000 Kms",18 kmpl,998 CC,5.0,Blue,6-Speed IMT,FWD,Bangalore
0,Diesel,Sedan,"68,000",Automatic,2,2nd Owner,BMW,BMW 3 Series,2017,₹ 22.75 Lakh,Comprehensive,"68,000 Kms",22.69 kmpl,1995 CC,5.0,White,8 Speed,RWD,Bangalore
0,Petrol,SUV,"19,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2022,₹ 13.65 Lakh,Comprehensive,"19,000 Kms",18.15 kmpl,998 CC,5.0,White,7-Speed DCT,FWD,Bangalore
0,Diesel,SUV,"41,000",Automatic,2,2nd Owner,BMW,BMW X1,2012,₹ 15.50 Lakh,Third Party insurance,"41,000 Kms",17.05 kmpl,1995 CC,5.0,Brown,8-Speed ,RWD,Bangalore
0,Diesel,SUV,"49,000",Automatic,1,1st Owner,BMW,BMW X1,2018,₹ 30.25 Lakh,Comprehensive,"49,000 Kms",20.68 kmpl,1995 CC,5.0,Blue,8 Speed,FWD,Bangalore
0,Diesel,Sedan,"45,000",Automatic,2,2nd Owner,BMW,BMW 5 Series,2018,₹ 42.75 Lakh,Comprehensive,"45,000 Kms",20.37 kmpl,1995 CC,5.0,Black,8-Speed Steptronic,RWD,Bangalore
0,Diesel,SUV,"75,000",Automatic,2,2nd Owner,BMW,BMW X5,2016,₹ 44.50 Lakh,Comprehensive,"75,000 Kms",11.7 kmpl,2993 CC,5.0,White,8 Speed,4WD,Bangalore
0,Petrol,Hatchback,"39,613",Manual,1,1st Owner,Maruti,Maruti Celerio,2015,₹ 4.83 Lakh,Third Party,"39,613 Kms",25.24 kmpl,998 CC,5.0,Red,5-Speed,,Bangalore
0,Petrol,Sedan,"68,906",Automatic,2,2nd Owner,Honda,Honda City,2018,₹ 10.07 Lakh,Third Party insurance,"68,906 Kms",18 kmpl,1497 CC,5.0,White,CVT,FWD,Bangalore
0,Petrol,SUV,"33,000",Automatic,1,1st Owner,Renault,Renault Duster,2019,₹ 9.95 Lakh,Comprehensive,"33,000 Kms",13.9 kmpl,1498 CC,5.0,White,6-Speed,FWD,Bangalore
0,Petrol,Sedan,"71,423",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2016,₹ 5.73 Lakh,Comprehensive,"71,423 Kms",22.41 kmpl,1197 CC,5.0,Red,5 Speed,,Bangalore
0,Petrol,Sedan,"17,811",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2015,₹ 6.58 Lakh,Comprehensive,"17,811 Kms",22.41 kmpl,1197 CC,5.0,Silver,5 Speed,,Bangalore
0,Diesel,SUV,"79,000",Automatic,1,1st Owner,Hyundai,Hyundai Creta,2017,₹ 12.45 Lakh,Comprehensive,"79,000 Kms",17.6 kmpl,1582 CC,5.0,White,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"9,724",Automatic,1,1st Owner,Maruti,Maruti Baleno,2020,₹ 9.06 Lakh,Zero Dep,"9,724 Kms",21.4 kmpl,1197 CC,5.0,Silver,CVT,FWD,Bangalore
0,Petrol,SUV,"75,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2019,₹ 11.95 Lakh,Comprehensive,"75,000 Kms",15.8 kmpl,1591 CC,5.0,White,6 Speed,FWD,Bangalore
0,Petrol,Sedan,"20,754",Manual,1,1st Owner,Toyota,Toyota Yaris,2021,₹ 10.31 Lakh,Comprehensive,"20,754 Kms",17.1 kmpl,1496 CC,5.0,White,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"50,510",Manual,3,3rd Owner,Hyundai,Hyundai Grand i10,2015,₹ 4.13 Lakh,Comprehensive,"50,510 Kms",18.9 kmpl,1197 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"35,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2019,₹ 6.24 Lakh,Comprehensive,"35,000 Kms",18.9 kmpl,1197 CC,5.0,White,5 Speed,FWD,Bangalore
0,Diesel,Sedan,"85,000",Manual,3,3rd Owner,Hyundai,Hyundai Verna,2011,₹ 4.65 Lakh,Comprehensive,"85,000 Kms",22.32 kmpl,1582 CC,5.0,Silver,6 Speed ,FWD,Bangalore
0,Petrol,Sedan,"48,979",Automatic,1,1st Owner,Honda,Honda City,2018,₹ 10.50 Lakh,Third Party insurance,"48,979 Kms",18 kmpl,1497 CC,5.0,White,5 Speed CVT,FWD,Bangalore
0,Petrol,SUV,"46,000",Manual,2,2nd Owner,Tata,Tata Nexon,2017,₹ 7.25 Lakh,Comprehensive,"46,000 Kms",17 kmpl,1198 CC,5.0,Red,6 Speed,FWD,Bangalore
0,Diesel,SUV,"9,000",Automatic,1,1st Owner,Mahindra,Mahindra Thar,2020,₹ 18 Lakh,Comprehensive,"9,000 Kms",,2184 CC,4.0,Red,6 Speed,4X4,Bangalore
0,Diesel,Sedan,"70,000",Manual,2,2nd Owner,Ford,Ford Aspire,2018,₹ 6.50 Lakh,Third Party insurance,"70,000 Kms",26.1 kmpl,1498 CC,5.0,Maroon,5 Speed,FWD,Bangalore
0,Diesel,Sedan,"78,000",Automatic,2,2nd Owner,Volvo,Volvo S60,2014,₹ 13.95 Lakh,Third Party insurance,"78,000 Kms",27.03 kmpl,1969 CC,5.0,Red,8 Speed,FWD,Bangalore
0,Diesel,Sedan,"1,500",Manual,1,1st Owner,Honda,Honda Amaze,2021,₹ 8.65 Lakh,Comprehensive,"1,500 Kms",24.7 kmpl,1498 CC,5.0,Golden Brown,5 Speed,FWD,Bangalore
0,Diesel,Sedan,"70,000",Automatic,2,2nd Owner,BMW,BMW 5 Series,2011,₹ 14.23 Lakh,Comprehensive,"70,000 Kms",18.48 kmpl,1995 CC,5.0,Golden,6 Speed,,Bangalore
0,Diesel,SUV,"8,187",Automatic,1,1st Owner,MG,MG Gloster,2023,₹ 43.99 Lakh,Comprehensive,"8,187 Kms",13.92 kmpl,1996 CC,6.0,Black,8 Speed,4x2,Bangalore
0,Petrol,Sedan,"81,777",Manual,3,3rd Owner,Maruti,Maruti Swift Dzire,2014,₹ 4.75 Lakh,Comprehensive,"81,777 Kms",22.41 kmpl,1197 CC,5.0,Silver,5 Speed,,Bangalore
0,Petrol,Sedan,"48,698",Automatic,2,2nd Owner,Honda,Honda City,2016,₹ 7.47 Lakh,Comprehensive,"48,698 Kms",18 kmpl,1497 CC,5.0,Others,5 Speed CVT,FWD,Bangalore
0,Petrol,SUV,"21,000",Automatic,1,1st Owner,Kia,Kia Seltos,2020,₹ 15.90 Lakh,Comprehensive,"21,000 Kms",16.5 kmpl,1353 CC,5.0,Grey,7-Speed DCT,FWD,Bangalore
0,Petrol,Hatchback,"67,771",Automatic,2,2nd Owner,Hyundai,Hyundai Grand i10,2016,₹ 5.20 Lakh,Comprehensive,"67,771 Kms",18.9 kmpl,1197 CC,5.0,Silver,4 Speed,FWD,Bangalore
0,Petrol,Sedan,"60,386",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2015,₹ 5.30 Lakh,Third Party,"60,386 Kms",22.41 kmpl,1197 CC,5.0,White,5 Speed,,Bangalore
0,Petrol,Hatchback,"48,928",Automatic,1,1st Owner,Tata,Tata Tiago,2018,₹ 5.95 Lakh,Comprehensive,"48,928 Kms",23.84 kmpl,1199 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"1,11,374",Manual,1,1st Owner,Hyundai,Hyundai i20,2010,₹ 3.12 Lakh,Third Party,"1,11,374 Kms",18.5 kmpl,1197 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,SUV,"33,000",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2017,₹ 9.20 Lakh,Third Party insurance,"33,000 Kms",15.8 kmpl,1591 CC,5.0,Grey,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"40,561",Manual,1,1st Owner,Maruti,Maruti Alto 800,2021,₹ 4.03 Lakh,Zero Dep,"40,561 Kms",22.05 kmpl,796 CC,5.0,Silver,5 Speed,,Bangalore
0,Petrol,Hatchback,"92,529",Manual,1,1st Owner,Maruti,Maruti Swift,2013,₹ 4.15 Lakh,Comprehensive,"92,529 Kms",22.38 kmpl,1197 CC,5.0,White,5-Speed,,Bangalore
0,Petrol,Sedan,"42,000",Automatic,1,1st Owner,Honda,Honda Amaze,2019,₹ 8.50 Lakh,Comprehensive,"42,000 Kms",18.1 kmpl,1199 CC,5.0,Maroon,CVT,FWD,Bangalore
0,Diesel,MUV,"55,342",Automatic,1,1st Owner,Kia,Kia Carnival,2020,₹ 27 Lakh,Comprehensive,"55,342 Kms",14.11 kmpl,2199 CC,7.0,Aurora Black Pearl,8-Speed,2WD,Bangalore
0,Diesel,SUV,"51,000",Manual,1,1st Owner,Ford,Ford Ecosport,2021,₹ 11.45 Lakh,Comprehensive,"51,000 Kms",21.7 kmpl,1498 CC,5.0,Brown,5 Speed,FWD,Bangalore
0,Diesel,SUV,"37,000",Manual,2,2nd Owner,Mahindra,Mahindra XUV500,2018,₹ 12.75 Lakh,Comprehensive,"37,000 Kms",15.1 kmpl,2179 CC,7.0,Silver,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"36,468",Manual,1,1st Owner,Honda,Honda Jazz,2017,₹ 6.45 Lakh,Comprehensive,"36,468 Kms",18.7 kmpl,1199 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,SUV,"11,250",Manual,1,1st Owner,Mahindra,Mahindra XUV300,2022,₹ 14.40 Lakh,Comprehensive,"11,250 Kms",16.82 kmpl,1197 CC,5.0,Black,6 Speed,,Bangalore
0,Petrol,MUV,"36,000",Manual,1,1st Owner,Maruti,Maruti Ertiga,2019,₹ 11.45 Lakh,Comprehensive,"36,000 Kms",19.01 kmpl,1462 CC,7.0,Golden,5 Speed,FWD,Bangalore
0,Petrol,SUV,"36,368",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2019,₹ 12.25 Lakh,Third Party insurance,"36,368 Kms",18.15 kmpl,998 CC,5.0,Blue,7-Speed,FWD,Bangalore
0,Diesel,Sedan,"36,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz S-Class,2016,₹ 52.75 Lakh,Comprehensive,"36,000 Kms",13.5 kmpl,2987 CC,5.0,White,7 Speed,RWD,Bangalore
0,Diesel,SUV,"62,000",Automatic,3,3rd Owner,BMW,BMW X3,2017,₹ 38 Lakh,Comprehensive,"62,000 Kms",18.56 kmpl,1995 CC,5.0,White,8 Speed,4WD,Bangalore
0,Petrol,Sedan,"39,466",Manual,1,1st Owner,Honda,Honda City,2018,₹ 8.88 Lakh,Comprehensive,"39,466 Kms",17.4 kmpl,1497 CC,5.0,Brown,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"49,570",Manual,1,1st Owner,Maruti,Maruti Swift,2014,₹ 5.07 Lakh,Comprehensive,"49,570 Kms",22.38 kmpl,1197 CC,5.0,White,5-Speed,,Bangalore
0,Petrol,Sedan,"23,382",Automatic,2,2nd Owner,Volkswagen,Volkswagen Vento,2018,₹ 10.20 Lakh,Comprehensive,"23,382 Kms",18.19 kmpl,1197 CC,5.0,Beige,7 Speed,FWD,Bangalore
0,Petrol,Hatchback,"42,954",Manual,1,1st Owner,Maruti,Maruti S-Presso,2021,₹ 4.72 Lakh,Comprehensive,"42,954 Kms",21.7 kmpl,998 CC,5.0,White,5-Speed,FWD,Bangalore
0,Petrol,Hatchback,"68,306",Manual,1,1st Owner,Maruti,Maruti Swift,2014,₹ 4.71 Lakh,Comprehensive,"68,306 Kms",22.38 kmpl,1197 CC,5.0,Silver,5-Speed,,Bangalore
0,Diesel,Hatchback,"54,961",Manual,1,1st Owner,Hyundai,Hyundai i20,2018,₹ 8.21 Lakh,Comprehensive,"54,961 Kms",22.54 kmpl,1396 CC,5.0,Star Dust,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"91,087",Manual,1,1st Owner,Maruti,Maruti Swift,2015,₹ 5.10 Lakh,Comprehensive,"91,087 Kms",22.38 kmpl,1197 CC,5.0,Red,5-Speed,,Bangalore
0,Petrol,Hatchback,"16,691",Manual,1,1st Owner,Renault,Renault KWID,2022,₹ 5.99 Lakh,Third Party,"16,691 Kms",21.74 kmpl,999 CC,5.0,White,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"80,190",Manual,1,1st Owner,Maruti,Maruti Wagon R,2016,₹ 4.02 Lakh,Comprehensive,"80,190 Kms",20.51 kmpl,998 CC,5.0,Brown,5 Speed,FWD,Bangalore
0,Petrol,SUV,"54,639",Manual,1,1st Owner,Hyundai,Hyundai Creta,2017,₹ 10.02 Lakh,Third Party insurance,"54,639 Kms",15.29 kmpl,1591 CC,5.0,Red,6 Speed,FWD,Bangalore
0,Petrol,SUV,"50,225",Manual,1,1st Owner,Maruti,Maruti SX4 S Cross,2020,₹ 9.75 Lakh,Comprehensive,"50,225 Kms",18.55 kmpl,1462 CC,5.0,Grey,5 Speed,FWD,Bangalore
0,Diesel,Hatchback,"68,017",Manual,1,1st Owner,Hyundai,Hyundai i20,2018,₹ 7.95 Lakh,Comprehensive,"68,017 Kms",22.54 kmpl,1396 CC,5.0,Blue,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"87,912",Manual,1,1st Owner,Volkswagen,Volkswagen Polo,2016,₹ 5.50 Lakh,Comprehensive,"87,912 Kms",16.2 kmpl,1199 CC,5.0,Flash Red,5 Speed,FWD,Bangalore
0,Petrol,SUV,"2,045",Manual,1,1st Owner,Tata,Tata Nexon,2021,₹ 12.98 Lakh,Third Party insurance,"2,045 Kms",17.57 kmpl,1199 CC,5.0,Black,6-Speed,,Bangalore
0,Petrol,SUV,"24,305",Manual,1,1st Owner,Maruti,Maruti SX4 S Cross,2021,₹ 10.85 Lakh,Third Party insurance,"24,305 Kms",18.55 kmpl,1462 CC,5.0,Blue,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"2,500",Automatic,1,1st Owner,Tata,Tata Nano,2015,₹ 3.35 Lakh,Comprehensive,"2,500 Kms",25.4 kmpl,624 CC,4.0,Purple,4 Speed,RWD,Bangalore
0,Petrol,SUV,"31,489",Automatic,1,1st Owner,Tata,Tata Nexon,2020,₹ 11.09 Lakh,Third Party insurance,"31,489 Kms",17.05 kmpl,1199 CC,5.0,Blue,6 Speed,,Bangalore
0,Petrol,Sedan,"82,268",Manual,2,2nd Owner,Fiat,Fiat Linea,2014,₹ 3.50 Lakh,Not Available,"82,268 Kms",14.6 kmpl,1368 CC,5.0,Golden,Five Speed Manual,Front Wheel Drive,Bangalore
0,Diesel,SUV,"73,834",Manual,1,1st Owner,Ford,Ford Ecosport,2019,₹ 8.95 Lakh,Third Party insurance,"73,834 Kms",23 kmpl,1498 CC,5.0,Black,5 Speed,FWD,Bangalore
0,Diesel,SUV,"73,000",Manual,2,2nd Owner,Toyota,Toyota Fortuner,2014,₹ 17.75 Lakh,Comprehensive,"73,000 Kms",13 kmpl,2982 CC,7.0,Grey,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"41,436",Manual,1,1st Owner,Maruti,Maruti Celerio,2017,₹ 4.66 Lakh,Comprehensive,"41,436 Kms",23.1 kmpl,998 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,Sedan,"19,024",Manual,2,2nd Owner,Honda,Honda City,2019,₹ 9.24 Lakh,Zero Dep,"19,024 Kms",17.4 kmpl,1497 CC,5.0,Brown,5 Speed,FWD,Bangalore
0,Diesel,MUV,"73,000",Manual,1,1st Owner,Mahindra,Mahindra Xylo,2016,₹ 7.75 Lakh,Comprehensive,"73,000 Kms",14.02 kmpl,2179 CC,8.0,Red,5 Speed,RWD,Bangalore
0,Petrol,Hatchback,"73,140",Manual,2,2nd Owner,Maruti,Maruti Alto 800,2020,₹ 3.78 Lakh,Comprehensive,"73,140 Kms",22.05 kmpl,796 CC,5.0,Red,5 Speed,,Bangalore
0,Petrol,Hatchback,"29,289",Manual,1,1st Owner,Maruti,Maruti Swift,2015,₹ 5.55 Lakh,Comprehensive,"29,289 Kms",22.38 kmpl,1197 CC,5.0,Silver,5-Speed,,Bangalore
0,Petrol,Sedan,"39,116",Automatic,1,1st Owner,Honda,Honda City,2016,₹ 8.99 Lakh,Comprehensive,"39,116 Kms",18 kmpl,1497 CC,5.0,Silver,5 Speed CVT,FWD,Bangalore
0,Petrol,Hatchback,"41,958",Manual,1,1st Owner,Maruti,Maruti Alto 800,2019,₹ 3.70 Lakh,Third Party,"41,958 Kms",24.7 kmpl,796 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,SUV,"26,626",Manual,1,1st Owner,Honda,Honda WR-V,2018,₹ 8.10 Lakh,Third Party insurance,"26,626 Kms",17.5 kmpl,1199 CC,5.0,Brown,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"63,460",Automatic,1,1st Owner,Honda,Honda Jazz,2019,₹ 7.74 Lakh,Third Party insurance,"63,460 Kms",18.2 kmpl,1199 CC,5.0,White,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"35,711",Manual,1,1st Owner,Hyundai,Hyundai Santro,2019,₹ 5.30 Lakh,Comprehensive,"35,711 Kms",20.3 kmpl,1086 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,SUV,"20,057",Manual,1,1st Owner,Honda,Honda WR-V,2020,₹ 9.45 Lakh,Comprehensive,"20,057 Kms",16.5 kmpl,1199 CC,5.0,Brown,5 Speed,,Bangalore
0,Petrol,Hatchback,"25,396",Manual,1,1st Owner,Tata,Tata Altroz,2020,₹ 8.80 Lakh,Third Party insurance,"25,396 Kms",19.33 kmpl,1199 CC,5.0,Golden,5-Speed,,Bangalore
0,Diesel,Hatchback,"88,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2013,₹ 5.25 Lakh,Comprehensive,"88,000 Kms",21.27 kmpl,1396 CC,5.0,Brown,6 Speed,FWD,Bangalore
0,Petrol,SUV,"62,000",Automatic,1,1st Owner,Jeep,Jeep Compass,2019,₹ 16.05 Lakh,Third Party insurance,"62,000 Kms",14.1 kmpl,1368 CC,5.0,Grey,7 Speed,4X2,Bangalore
0,Petrol,Sedan,"35,993",Manual,1,1st Owner,Honda,Honda City,2020,₹ 11.70 Lakh,Not Available,"35,993 Kms",18.6 kmpl,1498 CC,5.0,PLATINUM WHITE PEARL,6 Speed,,Bangalore
0,Petrol,Hatchback,"34,000",Automatic,1,1st Owner,Hyundai,Hyundai Grand i10,2017,₹ 6.50 Lakh,Comprehensive,"34,000 Kms",18.9 kmpl,1197 CC,5.0,Silver,4 Speed,FWD,Bangalore
0,Petrol,SUV,"51,338",Manual,1,1st Owner,Honda,Honda WR-V,2019,₹ 8.75 Lakh,Comprehensive,"51,338 Kms",17.5 kmpl,1199 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"74,280",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2015,₹ 5 Lakh,Not Available,"74,280 Kms",18.9 kmpl,1197 CC,5.0,Wine Red,5 Speed,FWD,Bangalore
0,Diesel,SUV,"82,000",Automatic,1,1st Owner,Land Rover,Land Rover Range Rover Sport,2019,₹ 95 Lakh,Comprehensive,"82,000 Kms",12.65 kmpl,2993 CC,5.0,Grey,8 Speed,4WD,Bangalore
0,Diesel,Sedan,"63,773",Automatic,1,1st Owner,Audi,Audi A6,2015,₹ 21.95 Lakh,Comprehensive,"63,773 Kms",17.68 kmpl,1968 CC,5.0,Blue,8 Speed,FWD,Bangalore
0,Petrol,Hatchback,"1,01,356",Manual,2,2nd Owner,Hyundai,Hyundai Grand i10,2015,₹ 3.95 Lakh,Comprehensive,"1,01,356 Kms",18.9 kmpl,1197 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Cng,Hatchback,"75,591",Manual,1,1st Owner,Maruti,Maruti Alto 800,2020,₹ 4.21 Lakh,Third Party insurance,"75,591 Kms",31.59 km/kg,796 CC,4.0,Others,5 Speed,,Bangalore
0,Petrol,SUV,"72,208",Automatic,1,1st Owner,Hyundai,Hyundai Creta,2017,₹ 13 Lakh,Not Available,"72,208 Kms",13 kmpl,1591 CC,5.0,Blue,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"51,489",Manual,1,1st Owner,Maruti,Maruti Swift,2014,₹ 4.90 Lakh,Comprehensive,"51,489 Kms",22.38 kmpl,1197 CC,5.0,Blue,5-Speed,,Bangalore
0,Petrol,Hatchback,"74,643",Automatic,1,1st Owner,Maruti,Maruti Ignis,2017,₹ 5.20 Lakh,Third Party insurance,"74,643 Kms",20.89 kmpl,1197 CC,5.0,Others,5 Speed,FWD,Bangalore
0,Diesel,SUV,"44,000",Automatic,2,2nd Owner,BMW,BMW X5,2008,₹ 14.50 Lakh,Comprehensive,"44,000 Kms",15.3 kmpl,2993 CC,5.0,Golden,8 Speed,AWD,Bangalore
0,Petrol,Hatchback,"79,575",Automatic,1,1st Owner,Honda,Honda Jazz,2017,₹ 6.16 Lakh,Comprehensive,"79,575 Kms",19 kmpl,1199 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,SUV,"54,097",Manual,1,1st Owner,Honda,Honda WR-V,2018,₹ 8.25 Lakh,Comprehensive,"54,097 Kms",17.5 kmpl,1199 CC,5.0,White,5 Speed,FWD,Bangalore
0,Petrol,Sedan,"35,288",Manual,2,2nd Owner,Honda,Honda City,2018,₹ 8.38 Lakh,Comprehensive,"35,288 Kms",17.4 kmpl,1497 CC,5.0,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"70,314",Automatic,1,1st Owner,Maruti,Maruti Swift,2019,₹ 6.18 Lakh,Zero Dep,"70,314 Kms",22.56 kmpl,1197 CC,5.0,Silver,5-Speed,,Bangalore
0,Diesel,SUV,"96,939",Manual,2,2nd Owner,Renault,Renault Duster,2017,₹ 8.75 Lakh,Third Party insurance,"96,939 Kms",19.72 kmpl,1461 CC,5.0,Black,6 Speed,AWD,Bangalore
0,Petrol,Hatchback,"44,824",Manual,2,2nd Owner,Nissan,Nissan Micra,2010,₹ 3.90 Lakh,Comprehensive,"44,824 Kms",18.06 kmpl,1198 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Diesel,MUV,"1,69,219",Manual,2,2nd Owner,Toyota,Toyota Innova,2014,₹ 13.49 Lakh,Third Party insurance,"1,69,219 Kms",12.99 kmpl,2494 CC,7.0,Golden,5 Speed,FWD,Bangalore
0,Petrol,Sedan,"92,673",Manual,2,2nd Owner,Honda,Honda City,2012,₹ 5 Lakh,Third Party,"92,673 Kms",16.8 kmpl,1497 CC,5.0,Taffeta White,5 Speed,FWD,Bangalore
0,Diesel,SUV,"79,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz GL-Class,2014,₹ 41 Lakh,Comprehensive,"79,000 Kms",11.3 kmpl,2987 CC,7.0,White,7 Speed,AWD,Bangalore
0,Diesel,SUV,"20,183",Automatic,1,1st Owner,Jeep,Jeep Compass,2020,₹ 21.90 Lakh,Zero Dep,"20,183 Kms",17.1 kmpl,1956 CC,5.0,Minimal Grey,9 Speed,AWD,Bangalore
0,Petrol,Sedan,"77,130",Automatic,1,1st Owner,Toyota,Toyota Yaris,2018,₹ 7.95 Lakh,Comprehensive,"77,130 Kms",17.8 kmpl,1496 CC,5.0,White,7 Speed CVT,FWD,Bangalore
0,Petrol,SUV,"45,000",Automatic,1,1st Owner,Ford,Ford Ecosport,2017,₹ 7.75 Lakh,Comprehensive,"45,000 Kms",14.7 kmpl,1496 CC,5.0,Brown,6 Speed,FWD,Bangalore
0,Petrol,Hatchback,"27,025",Automatic,2,2nd Owner,Maruti,Maruti Baleno,2017,₹ 7.45 Lakh,Third Party insurance,"27,025 Kms",19.56 kmpl,1197 CC,5.0,Grey,CVT,FWD,Bangalore
0,Petrol,SUV,"1,05,153",Manual,1,1st Owner,Kia,Kia Seltos,2019,₹ 11.25 Lakh,Third Party insurance,"1,05,153 Kms",16.1 kmpl,1353 CC,5.0,White,6-Speed,2WD,Bangalore
0,Diesel,SUV,"70,509",Manual,1,1st Owner,Mahindra,Mahindra XUV500,2016,₹ 10.30 Lakh,Comprehensive,"70,509 Kms",16 kmpl,2179 CC,7.0,Brown,6 Speed ,FWD,Bangalore
0,Petrol,Hatchback,"11,662",Automatic,2,2nd Owner,Renault,Renault KWID,2020,₹ 5.82 Lakh,Zero Dep,"11,662 Kms",22 kmpl,999 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"36,176",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2018,₹ 6.15 Lakh,Third Party insurance,"36,176 Kms",18.9 kmpl,1197 CC,5.0,White,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"74,342",Automatic,2,2nd Owner,Honda,Honda Jazz,2015,₹ 5.60 Lakh,Third Party insurance,"74,342 Kms",19 kmpl,1199 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Diesel,Hatchback,"89,837",Manual,1,1st Owner,Maruti,Maruti Baleno,2016,₹ 7.10 Lakh,Third Party,"89,837 Kms",27.39 kmpl,1248 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"11,912",Manual,2,2nd Owner,Maruti,Maruti Swift,2015,₹ 5.35 Lakh,Third Party,"11,912 Kms",21.21 kmpl,1197 CC,5.0,White,5,FWD,Bangalore
0,Diesel,Hatchback,"55,544",Manual,2,2nd Owner,Maruti,Maruti Swift,2012,₹ 4.46 Lakh,Third Party,"55,544 Kms",22.9 kmpl,1248 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,SUV,"27,027",Automatic,1,1st Owner,Ford,Ford Ecosport,2019,₹ 10.18 Lakh,Comprehensive,"27,027 Kms",14.8 kmpl,1497 CC,5.0,White,6 Speed,FWD,Bangalore
0,Petrol,Sedan,"56,363",Automatic,1,1st Owner,Honda,Honda City,2017,₹ 8.40 Lakh,Zero Dep,"56,363 Kms",18 kmpl,1497 CC,5.0,Silver,5 Speed CVT,FWD,Bangalore
