it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats.1,Color,Gear Box,Drive Type,City
0,Lpg,Hatchback,"30,000",Manual,2,2nd Owner,Hyundai,Hyundai Santro Xing,2009,₹ 2.20 Lakh,Third Party insurance,"30,000 Kms",13.45 kmpl,1086 CC,5.0,Others,5 Speed,FWD,Bangalore
0,Petrol,Sedan,"33,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz E-Class,2017,₹ 41.45 Lakh,Comprehensive,"33,000 Kms",15 kmpl,1991 CC,5.0,White,9 Speed,RWD,Bangalore
0,Diesel,SUV,"87,667",Manual,2,2nd Owner,Mahindra,Mahindra XUV500,2014,₹ 8.61 Lakh,Third Party,"87,667 Kms",15.1 kmpl,2179 CC,7.0,Black,6 Speed ,FWD,Bangalore
0,Diesel,Sedan,"40,000",Automatic,2,2nd Owner,Audi,Audi A4,2016,₹ 17.85 Lakh,Third Party insurance,"40,000 Kms",17.11 kmpl,1968 CC,5.0,Others,8 Speed,FWD,Bangalore
0,Diesel,SUV,"79,012",Manual,2,2nd Owner,Mahindra,Mahindra XUV500,2014,₹ 8.03 Lakh,Comprehensive,"79,012 Kms",15.1 kmpl,2179 CC,7.0,Silver,6 Speed,FWD,Bangalore
0,Diesel,SUV,"31,344",Manual,1,1st Owner,Jeep,Jeep Compass,2021,₹ 25.65 Lakh,Comprehensive,"31,344 Kms",17.1 kmpl,1956 CC,5.0,Black,6 Speed,4x2,Bangalore
0,Petrol,Sedan,"50,000",Manual,1,1st Owner,Hyundai,Hyundai Xcent,2018,₹ 6.74 Lakh,Third Party insurance,"50,000 Kms",20.14 kmpl,1197 CC,5.0,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"12,434",Manual,1,1st Owner,Maruti,Maruti Wagon R,2015,₹ 3.49 Lakh,Comprehensive,"12,434 Kms",20.51 kmpl,998 CC,5.0,Brown,5 Speed,FWD,Bangalore
0,Petrol,MUV,"60,000",Manual,2,2nd Owner,Maruti,Maruti Ertiga,2019,₹ 10.50 Lakh,Third Party insurance,"60,000 Kms",19.34 kmpl,1462 CC,7.0,Others,5 Speed,2WD,Bangalore
0,Diesel,Sedan,"12,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz C-Class,2019,₹ 44.25 Lakh,Comprehensive,"12,000 Kms",12.6 kmpl,1950 CC,5.0,White,9 Speed,RWD,Bangalore
0,Petrol,Hatchback,"40,987",Manual,2,2nd Owner,Maruti,Maruti Wagon R,2015,₹ 4.06 Lakh,Comprehensive,"40,987 Kms",20.51 kmpl,998 CC,5.0,White,5 Speed,FWD,Bangalore
0,Petrol,Sedan,"18,157",Automatic,1,1st Owner,BMW,BMW 5 Series,2020,₹ 49.65 Lakh,Zero Dep,"18,157 Kms",15.56 kmpl,1998 CC,5.0,Blue,8-Speed Steptronic,RWD,Bangalore
0,Diesel,SUV,"1,20,000",Manual,3,3rd Owner,Toyota,Toyota Fortuner,2011,₹ 11 Lakh,Third Party insurance,"1,20,000 Kms",11.5 kmpl,2982 CC,7.0,Others,5 Speed,4WD,Bangalore
0,Diesel,SUV,"40,000",Automatic,2,2nd Owner,Renault,Renault Duster,2020,₹ 11 Lakh,Third Party insurance,"40,000 Kms",19.87 kmpl,1461 CC,5.0,Others,6-Speed,FWD,Bangalore
0,Petrol,Hatchback,"89,667",Manual,1,1st Owner,Hyundai,Hyundai i20,2016,₹ 5.94 Lakh,Comprehensive,"89,667 Kms",18.6 kmpl,1197 CC,5.0,White,5 Speed,FWD,Bangalore
