it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Year of Manufacture,RTO,Mileage,Engine,Max Power,Torque,Wheel Size,Seats,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Fuel Suppy System,Turbo Charger,Value Configuration,Super Charger,BoreX Stroke,Compression Ratio,Length,Width,Height,Wheel Base,Kerb Weight,Gross Weight,Front Tread,Rear Tread,Ground Clearance Unladen,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,Alloy Wheel Size,No Door Numbers,Gear Box,Drive Type,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Turning Radius,Top Speed,Acceleration,City
0,Diesel,SUV,"1,50,000",Manual,1,1st Owner,Tata,Tata Safari Storme,2013,2876,EX,₹ 3.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2013,Third Party insurance,Diesel,7 Seats,"1,50,000 Kms",First Owner,2179 cc,Manual,2013,UK07,14 kmpl,2179 CC,138.1bhp,320Nm,,7,Others,VTT VariCOR Diesel Engine,2179,138.1bhp@4000rpm,320Nm@1700-2700rpm,4.0,4.0,Direct Injection Common Rail ,Yes,DOHC,No,,,4655mm,1965mm,1922mm,2650mm,2000kg,2555kg,,,,,,,,,,,,,,,,5 Speed,FWD,7,Power,Ventilated Disc,Ventilated Disc ,"Tubeless,Radial",,5,,5.4 metres,,,Delhi
0,Diesel,SUV,"83,329",Manual,1,1st Owner,Hyundai,Hyundai Venue,2019,6949,SX Opt Diesel BSIV,₹ 8.39 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2019,Comprehensive,Diesel,5 Seats,"83,329 Kms",First Owner,1396 cc,Manual,2019,HR51,23.7 kmpl,1396 CC,88.7bhp,220Nm,16,5,Silver,,1396,88.7bhp@4000rpm,220Nm@1500-2700rpm,4.0,4.0,CRDi,No,,,,,3995 mm,1770 mm,1605 mm,2500 mm,1260,,,,190mm,,,,,,,,,,,,,6-Speed,FWD,5,Power,Disc,Drum,Radial,16,5,350 L,,,,Delhi
0,Petrol,Hatchback,"43,000",Manual,1,1st Owner,Maruti,Maruti Zen Estilo,2008,5765,1.1 LXI BSIII,₹ 1.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2008,Third Party insurance,Petrol,5 Seats,"43,000 Kms",First Owner,1061 cc,Manual,2008,,18.2 kmpl,1061 CC,64bhp,84Nm,13,5,Medium Blue,"1.1L, 4-Cyl, F10D Petrol",1061,64bhp@6200rpm,84Nm@3500rpm,4.0,4.0,MPFi,No,,No,,,,,,,875,,,,,,,,,,,,,,,,,5 Speed,2WD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",13,5,,4.6 m,130 kmph,16.26 seconds,Delhi
0,Petrol,Hatchback,"8,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10 Nios,2022,7091,Sportz,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2022,Third Party insurance,Petrol,5 Seats,"8,000 Kms",First Owner,1197 cc,Manual,2022,,20.7 kmpl,1197 CC,81.86bhp,113.8nm,14,5,White,1.2 Kappa petrol,1197,81.86bhp@6000rpm,113.8nm@4000rpm,4.0,4.0,,No,,,,,3805mm,1680,1520,2450,1160,,,,,,,,,,,,,,,,,5-Speed,,5,Electric,Disc,Drum,"Tubeless, Radial",14,5,,,,,Delhi
0,Petrol,SUV,"11,404",Automatic,1,1st Owner,Skoda,Skoda Kushaq,2021,8478,1.0 TSI Ambition AT BSVI,₹ 12.84 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2022,Comprehensive,Petrol,5 Seats,"11,404 Kms",First Owner,999 cc,Automatic,2021,UP80,17.2 kmpl,999 CC,113.98bhp,178Nm,16,5,Red,1.0 TSI Petrol Engine,999,113.98bhp@5000-5500rpm,178Nm@1750-4500rpm,3.0,4.0,TSI,Yes,,,,,4225mm,1760mm,1612mm,2651mm,1245-1280 kg,1660 kg,,,155mm,,,,,,,,,,,,,6-speed,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",16,5,385/1405,,,,Delhi
0,Petrol,SUV,"70,000",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2019,8179,1.6 VTVT SX Plus,₹ 8.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2019,Third Party insurance,Petrol,5 Seats,"70,000 Kms",Second Owner,1591 cc,Manual,2019,HR72,13 kmpl,1591 CC,121.3bhp,151Nm,17,5,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFi,No,DOHC,No,,,4270mm,1780mm,1630mm,2590mm,1280,,,,,,,,,,,,,,,,,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400-litres,5.3 metres,,,Delhi
0,Diesel,Hatchback,"23,000",Manual,1,1st Owner,Tata,Tata Altroz,2023,10226,XZ Diesel,₹ 8.70 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2023,Comprehensive,Diesel,5 Seats,"23,000 Kms",First Owner,1497 cc,Manual,2023,UP16,23.64 kmpl,1497 CC,88.77bhp,200Nm,16,5,Red,1.5 l Turbocharged Revotorq,1497,88.77bhp@4000rpm,200Nm@1250-3000rpm,4.0,4.0,,Yes,,,,,3990mm,1755,1523,2501,1105,,,,,,,,,,,,,,,,,5-Speed,,5,Electric,Disc,Drum,"Tubeless,Radial",16,5,345,5.0,,,Delhi
0,Petrol,Hatchback,"19,044",Manual,1,1st Owner,Maruti,Maruti Ignis,2022,7586,Zeta BSVI,₹ 6.34 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2022,Comprehensive,Petrol,5 Seats,"19,044 Kms",First Owner,1197 cc,Manual,2022,HR98,20.89 kmpl,1197 CC,81.80bhp,113Nm,15,5,Blue,VVT,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,,,,,,,3700mm,1690,1595,2435,840-865,,,,,,,,,,,,,,,,,5 Speed,,5,Electric,Disc,Drum,"Tubeless, Radial",15,5,260,4.7,,,Delhi
0,Petrol,Sedan,"23,500",Automatic,1,1st Owner,BMW,BMW 7 Series,2017,5547,740Li DPE Signature,₹ 75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2017,Comprehensive,Petrol,5 Seats,"23,500 Kms",First Owner,2998 cc,Automatic,2017,HR26,12.5 kmpl,2998 CC,321.84bhp,450Nm,19,5,Blue,TwinPower Turbo Inline 6 Cylinder Engine,2998,321.84bhp@5500rpm,450Nm@1380-5000rpm,6.0,4.0,Direct Injection,Yes,,No,,,5238mm,1902mm,1479mm,3210mm,2220,,1618mm,1650mm,,,,,,,,,,,,,,8 Speed,RWD,5,Power,Disc,Disc,Run-Flat,19,4,515,6.25m,250 kmph,6.11 Seconds,Delhi
0,Petrol,SUV,"17,367",Manual,1,1st Owner,Hyundai,Hyundai Creta,2019,6430,1.6 SX,₹ 12.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2019,Comprehensive,Petrol,5 Seats,"17,367 Kms",First Owner,1591 cc,Manual,2019,HR26,15.8 kmpl,1591 CC,121.3bhp,151Nm,17,5,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFI,No,DOHC,No,,,4270mm,1780mm,1665mm,2590mm,1260,,,,190mm,,,,,,,,,,,,,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400,5.3 metres,,,Delhi
0,Diesel,SUV,"3,800",Manual,1,1st Owner,Kia,Kia Seltos,2020,7114,HTK Diesel,₹ 13.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2020,Third Party insurance,Diesel,5 Seats,"3,800 Kms",First Owner,1493 cc,Manual,2020,DL2C,20.8 kmpl,1493 CC,113.43bhp,250nm,,5,Grey,1.5 L CRDi VGT,1493,113.43bhp@4000rpm,250nm@1500-2750rpm,4.0,4.0,CRDi,Yes,,,,,4315mm,1800mm,1645mm,2610mm,1465,,,,,,,,,,,,,,,,,6-Speed,FWD,5,Electric,Disc,Disc,"Tubeless, Radial",,5,433,,,,Delhi
0,Petrol,Sedan,"45,000",Automatic,1,1st Owner,BMW,BMW 3 Series GT,2017,6632,M Sport Petrol,₹ 32.15 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2017,Comprehensive,Petrol,5 Seats,"45,000 Kms",First Owner,1998 cc,Automatic,2017,DL26,15.34 kmpl,1998 CC,248bhp,350Nm,18,5,White,TwinPower Turbo 4-Cylinder Petrol Engine,1998,248bhp@5200rpm,350Nm@1450-4800rpm,4.0,4.0,Direct Injection,Yes,DOHC,No,,,4824mm,1828mm,1508mm,2920 mm,1760,,1541 mm,1581 mm,,,,,,,,,,,,,,8 Speed,RWD,5,Power,Disc,Disc,Run-Flat,18,4,520,5.5 metres,250 Kmph,6.1 Seconds,Delhi
0,Petrol,Hatchback,"43,124",Automatic,2,2nd Owner,Hyundai,Hyundai Grand i10,2014,1544,AT Asta,₹ 4.21 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2014,Comprehensive,Petrol,5 Seats,"43,124 Kms",Second Owner,1197 cc,Automatic,2014,UP16,18.9 kmpl,1197 CC,82bhp,114Nm,14,5,Red,Kappa VTVT Petrol Engine,1197,82bhp@6000rpm,114Nm@4000rpm,4.0,4.0,MPFI,No,DOHC,No,,,3765mm,1660mm,1520mm,2425mm,935kg,,1479mm,1493mm,,,,,,,,,,,,,,4 Speed,FWD,5,Power,Disc,Drum,Tubeless,14,5,256-liters,4.8 metres,163 Kmph,14.9 Seconds,Delhi
