it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Wheel Size,Seats,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Seating Capacity,Steering Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Ground Clearance Unladen,Seating Capacity,Steering Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Top Speed,Acceleration,City
0,Petrol,Hatchback,"70,000",Automatic,1,1st Owner,Tata,Tata Tiago,2018,5653,1.2 Revotron XZA,₹ 5.30 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2018,Third Party insurance,Petrol,5 Seats,"70,000 Kms",TS08,First Owner,1199 cc,Automatic,2018.0,23.84 kmpl,1199 CC,83.83bhp,114Nm,14,5,Orange,Revotron Engine,1199,83.83bhp@6000rpm,114Nm@3500rpm,3.0,4.0,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,,,,,,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,,,,,,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,Tubeless,14,5,242-litres,150 kmph,,Hyderabad
0,Petrol,Hatchback,"33,730",Manual,1,1st Owner,Datsun,Datsun RediGO,2021,7846,1.0 T Option,₹ 4.66 Lakh,₹ 4.89 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2022,Third Party insurance,Petrol,5 Seats,"33,730 Kms",TS32,First Owner,999 cc,Manual,2021.0,21.7 kmpl,999 CC,67.05bhp,91nm,,5,Blue,1.0 L Petrol Engine,999,67.05bhp@5550rpm,91nm@4250rpm,3.0,4.0,DOHC,MPFi,,,No,No,,,,,,3435mm,1574mm,1546mm,2348mm,,,750,,,,,,,,5-Speed,FWD,5,Power,4.7m,Disc,Drum,tubeless tyre,,5,222,,,Hyderabad
0,Petrol,Hatchback,"51,113",Manual,1,1st Owner,Renault,Renault KWID,2020,7191,Climber 1.0 MT Opt BSIV,₹ 4.57 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2020,Comprehensive,Petrol,5 Seats,"51,113 Kms",TS07,First Owner,999 cc,Manual,2020.0,23.01 kmpl,999 CC,67bhp,91Nm,,5,Blue,Petrol Engine,999,67bhp@5500rpm,91Nm@4250rpm,3.0,4.0,DOHC,MPFi,,,No,No,,,,,,3731mm,1579mm,1474mm,2422mm,,,765,,184mm,,,,,,5 Speed,FWD,5,Power,4.9 metres,Disc,Drum,"Tubeless,Radial",,5,279,,,Hyderabad
0,Diesel,Hatchback,"40,000",Manual,2,2nd Owner,Volkswagen,Volkswagen Polo,2013,1953,Diesel Comfortline 1.2L,₹ 3.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2013,Third Party insurance,Diesel,5 Seats,"40,000 Kms",AP10,Second Owner,1199 cc,Manual,2013.0,22.07 kmpl,1199 CC,73.9bhp,180Nm,15,5,Others,In-Line Diesel Engine,1199,73.9bhp@4200rpm,180Nm@2000rpm,3.0,4.0,,CRDI,,,No,No,,,,,,3970mm,1682mm,1453mm,2456mm,,,1125kg,,,,,,,,5 Speed,FWD,5,Power,4.97 metres,Disc,Drum,"Tubeless,Radial",15,5,,164.1km/hr,14.4 Seconds,Hyderabad
0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Maruti,Maruti Wagon R,2009,4339,LXI Minor,₹ 2.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2009,Third Party insurance,Petrol,5 Seats,"40,000 Kms",AP10,First Owner,1061 cc,Manual,2009.0,18.9 kmpl,1061 CC,67bhp,84Nm,13,5,Others,FC Petrol Engine,1061,67bhp@6200rpm,84Nm@3500rpm,3.0,4.0,,MPFI,,,No,No,,,,,,3595mm,1475mm,1700mm,2400mm,1295mm,1290mm,870kg,1350kg,,,,,,,5 Speed,FWD,5,Power,4.6metres,Ventilated Disc,Drum,"Tubeless, Radial",13,4,,,,Hyderabad
0,Diesel,SUV,"60,000",Automatic,1,1st Owner,BMW,BMW X1,2020,338,sDrive 20d xLine,₹ 38 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2020,Third Party insurance,Diesel,5 Seats,"60,000 Kms",TS08,First Owner,1995 cc,Automatic,2020.0,20.68 kmpl,1995 CC,188bhp,400Nm,17,5,Others,Diesel Engine,1995,188bhp@4000rpm,400Nm@1750-2500rpm,4.0,4.0,DOHC,CRDi,84 X 90 mm,16.5:1,Yes,No,,,,,,4439mm,1821mm,1612mm,2670mm,1561mm,1562mm,1550,,,,,,,,8 Speed,FWD,5,Power,5.8 metres,Disc,Disc,Runflat,17,5,505-litres,222 Kmph,7.8 Seconds,Hyderabad
0,Petrol,Hatchback,"64,500",Manual,1,1st Owner,Maruti,Maruti Wagon R,2014,6740,VXI,₹ 3.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2015,Comprehensive,Petrol,5 Seats,"64,500 Kms",TS15,First Owner,998 cc,Manual,2014.0,21.79 kmpl,998 CC,67.05bhp,90Nm,,5,Brown,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFI,73  x 79.5 mm,,No,No,,,,,,3655 mm,1620 mm,1675 mm,2435 mm,,,805-825kg,1340kg,,,,,,,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,,18.6 Seconds,Hyderabad
0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Maruti,Maruti Wagon R,2020,6771,VXI Opt,₹ 6 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2020,Third Party insurance,Petrol,5 Seats,"40,000 Kms",TS08,First Owner,998 cc,Manual,2020.0,21.79 kmpl,998 CC,67.05bhp,90Nm,,5,White,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFI,69 x 72 mm,,No,No,,,,,,3655 mm,1620 mm,1675 mm,2435 mm,,,805-825kg,1340kg,,,,,,,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,,18.6 Seconds,Hyderabad
0,Diesel,SUV,"80,000",Manual,1,1st Owner,Jeep,Jeep Compass,2018,5929,2.0 Limited,₹ 14 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2018,Third Party insurance,Diesel,5 Seats,"80,000 Kms",TS07,First Owner,1956 cc,Manual,2018.0,17.1 kmpl,1956 CC,170bhp,350Nm,17,5,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,170bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,,,,,,4395mm,1818mm,1640mm,2636mm,,,1562 kgs,,,,,,,,6 Speed,4X2,5,Power,,Disc,Discs,"Radial, Tubless",17,5,408-litres,,,Hyderabad
0,Diesel,SUV,"50,000",Manual,1,1st Owner,Jeep,Jeep Compass,2019,6602,2.0 Limited Plus 4X4 BSIV,₹ 19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2019,Third Party insurance,Diesel,5 Seats,"50,000 Kms",TS07,First Owner,1956 cc,Manual,2019.0,16.3 kmpl,1956 CC,170.63bhp,350Nm,18,5,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,170.63bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,,,,,,4395mm,1818mm,1640mm,2636mm,,,1641 kgs,,,,,,,,6 Speed,4X4,5,power,,Disc,Discs,"Radial, Tubless",18,5,408-litres,,10.03 Seconds,Hyderabad
