model,MAE,MSE,RMSE,R2
LinearRegression,6.266381202165421e-15,8.252719376628905e-29,9.08444790652074e-15,1.0
DecisionTreeRegressor,0.001704462854088907,4.906828984500248e-05,0.007004876147727559,0.9999962033824121
RandomForestRegressor,0.0016676258685200313,2.3654179087742958e-05,0.004863556218215531,0.9999981697778212
GradientBoostingRegressor,0.018462031986559803,0.00067804160702834,0.02603923207447447,0.9999475371018908
RidgeRegressor,5.803282183135144e-14,1.5692159008823969e-07,2.4090002455656044e-07,0.9999999999999956
LassoRegressor,5.843660927037167e-07,0.0006597769280815883,0.0007644384165540849,0.9999999547851659
